Genre,Name,Author,Lvl.nov,Lvl.adv,Lvl.exh,Lvl.inf/grv/hvn/vid/xcd/mxm
"FLOOR","Λkasha","BlackY feat. Risa Yuzuki",8,15,18,20
"BEMANI","[ ]DENTITY","BEMANI Sound Team "HuΣeR"",7,14,17,19
"FLOOR","=∴NOMADE∵OTION=","qfeileadh + yuichi NAGAO",6,13,16,18
"BEMANI","Aftermath","BEMANI Sound Team "猫叉Master & あさき & Yvya"",5,12,15,17
"동방 어레인지","We Are The Scarlet (SDVX Edit)","天音 (Rolling Contact)",4,10,15
"VOCALOID","憂恋☆アクティベーション","u-z",5,10,16
"FLOOR","Voice 7 Voice!!!!!!!","かめりあ feat. ななひら",6,13,16,18
"BEMANI","VOLAQUAS","BEMANI Sound Team "DJ TOTTO VS 兎々"",7,14,17,19
"FLOOR","OVEЯ+TUЯE","kanone VS nora2r",7,14,17,19
"VOCALOID","金縛りの逢を","はるなば",6,11,17,18
"FLOOR","随神","影虎。",6,13,16,18
"BEMANI","Clione Hommarju Remix","Hommarju",3,8,12
"FLOOR","GEROL (Yooh Remix)","Yooh",5,12,15,17
"FLOOR","Sayonara Planet Wars (Sot-C Remix)","Sot-C",6,13,16,18
"BEMANI","Jetcoaster Windy","BEMANI Sound Team "dj TAKA" feat.のの",5,11,14,17
"BEMANI","スーパー戦湯ババンバーン","すわひでお,秋成,かぼちゃ,藍月なくる,NU-KO by BEMANI Sound Team "八戸亀生羅"",5,12,15,17
"FLOOR","STARDUST MERMAID","Music by MasKaleido, Vocal by ぁゅ",1,7,12
"BEMANI","Snowmelt","nora2r × BEMANI Sound Team "Yvya"",6,13,16,18
"BEMANI","Sparkle Smilin'","BEMANI Sound Team "Qrispy Joybox" feat.いちか",5,12,14,17
"VOCALOID","断片Story","Salk2d",4,11,16
"FLOOR","Chocolate Planet (いるちょこRemix)","irucaice feat. ちょこ",5,12,15,17
"FLOOR","Demetel (Erixa ”MYTH” Remix)","Erixa",5,11,14,17
